year,Location,Crop,precipitation (mm),Temperature (°C),Irrigation water usage (m³),Water availability (m³),Crop yield (metric tons/hectare),Irrigation efficiency (%),Irrigation method,Soil moisture (%),water salinity (ppm),Greenhouse gas emissions (metric tons)
1994,Tanzania,Groundnuts,1527.66,25.7,2658.02,79004.2,2.4,0.84,Center pivot irrigation,0.34,319.72,33.35
2001,Rwanda,Millet,746,27.48,7880.36,98700.08,4.87,0.87,Center pivot irrigation,0.35,892.12,18.32
2001,South Sudan,Wheat,1203.68,27.77,3316.97,27664.85,6.56,0.52,Sprinkler irrigation,0.2,238.25,57.55
1996,South Sudan,Cowpeas,1761.32,31.52,9269.02,81732.35,1.78,0.66,Flood irrigation,0.12,766.05,80.19
2011,Kenya,Maize,572.79,21.15,3005.96,35042.13,7.07,0.59,Center pivot irrigation,0.23,268.04,20.08
2005,Rwanda,Pigeon peas,1341.53,20.18,6209.04,30961.35,9.52,0.88,Drip irrigation,0.17,227.19,30.88
2003,Burundi,Vegetables,1900.9,30.59,2497.44,77837.62,2.07,0.75,Drip irrigation,0.17,619,41.8
1999,Burundi,Fruits,1925.48,28.07,6808.12,28027.44,1.16,0.65,Sprinkler irrigation,0.44,645.31,90.31
2006,Tanzania,Sweet potatoes,603.21,28.03,7613.5,93575.73,4.44,0.53,Sprinkler irrigation,0.43,955.7,28.16
1997,Kenya,Sunflower,1741.56,15.2,9725.77,23490.32,5.95,0.66,Sprinkler irrigation,0.29,878.32,93.39
2011,Rwanda,Cassava,860.57,24.94,8559.11,16321.52,1.14,0.65,Flood irrigation,0.47,323.04,78.11
2002,Uganda,Sorghum,1820.56,16.03,9520.84,15962.21,6.74,0.6,Center pivot irrigation,0.12,250.91,31.82
1997,Kenya,Irish potatoes,1860.84,15.37,3164.24,95259.58,2.21,0.81,Sprinkler irrigation,0.39,706.27,35.99
1999,Burundi,Maize,1928,23.11,4877.89,45396.81,7.39,0.5,Sprinkler irrigation,0.37,474.75,64.55
2008,South Sudan,Maize,971.47,29.44,2139.94,37060.55,6.93,0.61,Sprinkler irrigation,0.41,204.44,14.41
2006,Burundi,Cassava,869.1,18.6,7656.51,84063.23,6.59,0.71,Flood irrigation,0.17,423.94,79.28
2006,Burundi,Sunflower,760.43,28.27,4518.64,97827.82,7.09,0.53,Drip irrigation,0.44,506.41,93.18
1997,Rwanda,Sunflower,1537.92,15.65,1100.17,66398.82,7.7,0.87,Sprinkler irrigation,0.35,939.6,83.87
2021,Kenya,Irish potatoes,1833.59,18.15,4316.62,88768.74,8.77,0.54,Sprinkler irrigation,0.3,507.99,80.17
2016,Uganda,Rice,633.3,23.69,8682.85,31746.47,6.78,0.82,Flood irrigation,0.18,384.54,94.24
1999,Rwanda,Wheat,1766.16,22.22,1080.18,82448.56,5.52,0.58,Drip irrigation,0.47,346.51,79.3
2007,Kenya,Cassava,903.41,22.91,9873.08,59312.52,2.21,0.79,Sprinkler irrigation,0.1,744.41,19.4
2008,Burundi,Cowpeas,1163.93,34.76,9531.19,85121.5,7.36,0.82,Flood irrigation,0.38,881.53,62.17
2003,Uganda,Fruits,935.54,23.12,6326.32,41647.79,1.8,0.75,Drip irrigation,0.34,879.6,71.28
1998,Uganda,Vegetables,843.33,15.14,8891.94,55454.58,9.32,0.81,Center pivot irrigation,0.16,750.24,70.25
1994,Burundi,Cowpeas,1121.18,31.78,6165.34,61559.33,7.31,0.52,Sprinkler irrigation,0.26,667.91,69.36
1998,Burundi,Sorghum,1787.26,26.83,6620.8,85384.62,5.04,0.69,Flood irrigation,0.21,721.66,83.3
2020,Uganda,Cassava,1583.19,20.31,8797.96,45634.38,3.7,0.62,Flood irrigation,0.49,139.44,32.34
1995,Rwanda,Vegetables,797.22,18.78,3813.6,57434.55,4.7,0.88,Drip irrigation,0.32,660.77,15.08
2022,Uganda,Sweet potatoes,1397.45,17.92,2064.78,23121.53,1.38,0.65,Center pivot irrigation,0.46,151.91,91.64
2008,Burundi,Maize,1006.06,33.9,6377.98,34632.4,3.45,0.78,Sprinkler irrigation,0.43,751.25,73
2007,Uganda,Soybeans,919.65,21.49,9352.07,81662.68,7.8,0.65,Center pivot irrigation,0.2,419.85,13.03
2003,Uganda,Sorghum,1466.08,20.97,5276.05,22422.46,7.55,0.52,Drip irrigation,0.26,360.93,62.88
2014,Rwanda,Cassava,1753.52,32.13,6743.56,56310.54,5.3,0.59,Drip irrigation,0.28,165.76,72.94
2015,Tanzania,Cassava,569.26,15.22,1574.86,90334.03,3.98,0.57,Drip irrigation,0.41,430.68,99.55
2004,South Sudan,Pigeon peas,1094.47,34.31,3668.44,95300.74,7.53,0.73,Sprinkler irrigation,0.4,325.73,91.36
2023,Uganda,Maize,821.68,26.47,5517.14,67026.62,8.76,0.78,Sprinkler irrigation,0.21,590.13,49.31
2006,Kenya,Millet,1176.51,23.76,8149.44,52090.53,4.03,0.69,Drip irrigation,0.36,925.48,42.42
2023,South Sudan,Pigeon peas,1959.17,28.6,5641.8,79843.1,7.01,0.76,Flood irrigation,0.35,263.51,75.15
2006,South Sudan,Millet,981.86,23.76,6827.95,34963.61,5.19,0.68,Drip irrigation,0.19,508.53,19.49
2017,Burundi,Maize,1979,18.35,3688.14,66323.43,8.62,0.77,Sprinkler irrigation,0.39,202.17,46.1
2001,Burundi,Sorghum,913.95,23.51,5230.27,50056.98,2.82,0.69,Flood irrigation,0.11,168.95,34.01
2019,Uganda,Cowpeas,1122.99,32.8,6661.54,48979.13,8.66,0.59,Sprinkler irrigation,0.43,761.62,46.85
2005,South Sudan,Wheat,838.69,24.7,2276.91,68577.79,8.09,0.77,Center pivot irrigation,0.43,677.35,97.15
2017,Rwanda,Sunflower,1263.54,20.94,8939.23,56776.67,9.92,0.9,Sprinkler irrigation,0.41,771.41,28.38
2006,Tanzania,Cassava,591.68,27.55,5446.25,54739.8,4.64,0.81,Flood irrigation,0.5,786.92,15.31
2001,Kenya,Maize,1583.08,32.92,5700.72,62831.02,4.03,0.51,Drip irrigation,0.14,356.13,67.47
2023,Kenya,Sunflower,610.72,29.47,9503.06,14791.8,3.82,0.82,Sprinkler irrigation,0.4,994.3,70.81
2006,Rwanda,Soybeans,800.11,21.25,8611.4,18429.66,2.19,0.83,Flood irrigation,0.25,922.53,43.91
2022,Kenya,Maize,1586.67,17.55,9955.24,49357.76,2.08,0.54,Sprinkler irrigation,0.26,210.84,78.85
2016,Rwanda,Sorghum,1629,20.02,8329.91,45318.47,2.19,0.69,Flood irrigation,0.41,732.7,60.57
2020,South Sudan,Soybeans,778.38,32.92,9314.13,47070.96,6.92,0.83,Flood irrigation,0.24,798.27,82.6
2000,Tanzania,Rice,754.54,16.15,8417.83,72812.01,5.38,0.56,Sprinkler irrigation,0.32,168.48,74.21
2011,Rwanda,Beans,1702.82,33.74,2692.22,88646.36,9.57,0.62,Center pivot irrigation,0.45,658.42,45.6
1996,Tanzania,Maize,1059.89,33.96,9432.41,22851.62,1.5,0.5,Center pivot irrigation,0.25,415.15,33.29
2004,Kenya,Groundnuts,1360.66,27.14,2807.86,24043.22,2.38,0.58,Flood irrigation,0.34,298.61,57.48
1997,Rwanda,Sunflower,1836.02,31.81,5895.81,65747.87,9.7,0.77,Flood irrigation,0.2,945.43,12.87
1994,Rwanda,Vegetables,1423.8,31.43,8975.94,21119.66,1.14,0.78,Flood irrigation,0.44,815.84,50.88
1994,Burundi,Beans,867.92,21.47,8145.47,81148.89,9.99,0.79,Sprinkler irrigation,0.46,634.64,96.61
1997,Kenya,Sorghum,1577.04,31.23,5498.45,87083.79,4.97,0.72,Flood irrigation,0.46,572.27,74.44
2002,Tanzania,Beans,1394.11,17.06,2651.66,19390.73,4.31,0.79,Drip irrigation,0.41,506.03,58.76
2004,Burundi,Sweet potatoes,943.92,27.45,6434.25,95576.39,5.6,0.79,Drip irrigation,0.19,863.58,19.21
2003,Uganda,Rice,889.09,32.33,3078.81,94414.62,6.36,0.61,Sprinkler irrigation,0.36,609.72,24.78
1999,Kenya,Fruits,1731.62,18.7,1166.39,15943.51,9.99,0.84,Drip irrigation,0.36,221.31,39.93
2020,South Sudan,Sunflower,769.44,25.86,2317.77,72906.38,9.88,0.65,Center pivot irrigation,0.31,342.81,79.29
2022,Tanzania,Groundnuts,1939.28,15.37,7698.15,18718.8,7.35,0.83,Flood irrigation,0.18,556.05,15.66
1996,Rwanda,Beans,1802.4,23.54,3268.46,17215.81,4.91,0.65,Sprinkler irrigation,0.5,447.57,51.96
2017,Uganda,Sweet potatoes,1826.81,32.61,6409.42,41913.12,6.08,0.63,Sprinkler irrigation,0.49,635.47,25.7
2001,Rwanda,Fruits,523.77,25.2,7496.95,70065.04,3.51,0.65,Sprinkler irrigation,0.15,177.82,74.44
2021,South Sudan,Maize,1195.02,19.59,6263.73,73936.79,8.71,0.88,Center pivot irrigation,0.17,232.96,98.49
2021,Rwanda,Cassava,576.98,26.56,7797.52,52457.04,9.31,0.61,Sprinkler irrigation,0.26,141.95,27.85
2014,Rwanda,Pigeon peas,1345.61,32.13,9735.68,44467.21,6.76,0.54,Sprinkler irrigation,0.16,724.34,43.86
2003,Tanzania,Beans,1291.74,18.32,1241.23,72125.63,7.41,0.76,Center pivot irrigation,0.26,983.78,79.09
2013,Kenya,Sweet potatoes,804.19,16.25,2281.9,50193.61,4.69,0.83,Center pivot irrigation,0.45,784.83,81.63
2010,Burundi,Fruits,1588.16,25.21,7075.87,69750.66,2.24,0.73,Center pivot irrigation,0.44,909.65,40.87
2018,Uganda,Beans,1948.69,27.97,2188.9,11874.43,3.24,0.59,Sprinkler irrigation,0.19,333.7,72.38
2008,Uganda,Beans,1316.1,32.41,6506.82,53167.47,2.26,0.89,Center pivot irrigation,0.32,240.52,95.4
2001,Uganda,Fruits,650.9,23.78,7425.23,41076.03,5.86,0.76,Center pivot irrigation,0.26,497.8,23.29
2022,Rwanda,Sunflower,661.73,18.46,3170.34,27859.3,7.48,0.58,Center pivot irrigation,0.27,452.29,31.34
2000,Uganda,Beans,987.3,26.33,4976.37,97541.5,8.36,0.69,Sprinkler irrigation,0.29,582.42,81.53
2017,South Sudan,Beans,755.84,34.93,5038.49,86461.76,2.77,0.64,Flood irrigation,0.18,595.51,49.83
2016,Tanzania,Rice,714.18,22.68,1234.8,62353.72,5.76,0.65,Drip irrigation,0.22,138.98,63.12
1994,Burundi,Wheat,1178.14,26.32,6441.35,99855.03,4.55,0.66,Flood irrigation,0.44,164.29,73.42
2011,Kenya,Sweet potatoes,503.39,26.51,7176.63,95252.38,6.55,0.88,Drip irrigation,0.49,725.39,50.13
2013,Uganda,Maize,1503.41,25.06,7602.46,53908.28,6.25,0.8,Flood irrigation,0.2,783.34,48.84
2017,Tanzania,Fruits,814.07,16.06,4546.6,11156.93,5.64,0.66,Flood irrigation,0.44,168.09,83.21
2004,South Sudan,Vegetables,1296.45,16.08,3369.83,27170.54,3.46,0.9,Sprinkler irrigation,0.47,972.79,94.03
2017,Burundi,Groundnuts,1126.81,28.57,4931.8,70042.29,9.24,0.75,Center pivot irrigation,0.31,732.41,34.72
2016,Tanzania,Groundnuts,1797.87,19.07,9172.04,91048.43,6.86,0.84,Drip irrigation,0.21,980.69,63.04
2013,Burundi,Millet,1645.64,16.61,4454.73,48732.46,9.91,0.88,Drip irrigation,0.21,235.17,50.59
1998,Rwanda,Wheat,1026.96,18.02,6274.91,15417.79,3.41,0.73,Center pivot irrigation,0.13,176.02,94.1
2013,Burundi,Maize,926.72,32.82,6871.13,58750.51,2.98,0.84,Center pivot irrigation,0.47,626.25,21.43
2018,Rwanda,Pigeon peas,585.44,23.07,7724.08,35506.02,1.77,0.72,Center pivot irrigation,0.21,789.84,25.63
2003,Uganda,Beans,1808.37,31.57,2488.89,89462.03,8.5,0.67,Flood irrigation,0.43,692.66,57.16
1997,Tanzania,Pigeon peas,1902.94,29.39,2082.1,23161.25,9.94,0.66,Center pivot irrigation,0.45,991.22,63.33
1995,Burundi,Fruits,957.48,27.46,9494.91,20142.91,3.5,0.63,Sprinkler irrigation,0.21,550.34,40.88
2015,Rwanda,Irish potatoes,1846.05,25.77,5255.65,50328.6,5.94,0.58,Flood irrigation,0.21,833.91,58.06
1993,Burundi,Maize,1950.95,32.67,8549.58,85293.68,7.9,0.58,Flood irrigation,0.41,184.06,40
2021,Rwanda,Fruits,1364.47,34.86,9895.69,98117.8,5.27,0.65,Drip irrigation,0.25,390.84,24.61
2013,Rwanda,Cassava,1221.87,23.88,8619.35,67285.15,1.48,0.8,Center pivot irrigation,0.26,568.81,18.98
2022,Burundi,Sunflower,1172.27,22.47,5762.59,43778.04,4.72,0.57,Center pivot irrigation,0.42,139.53,65.46
2003,Burundi,Soybeans,1675.33,15.91,2994.52,76811.01,8.61,0.78,Drip irrigation,0.48,872.74,14.79
2018,South Sudan,Irish potatoes,1546.01,33.56,6977.55,41622.99,5.84,0.54,Drip irrigation,0.19,656.68,51.59
2012,Rwanda,Millet,1724.71,18.03,2967.15,22246.76,5.78,0.66,Drip irrigation,0.44,762.43,22.21
2006,Rwanda,Cowpeas,1999.95,27.55,4691.03,30499.45,2.84,0.7,Flood irrigation,0.16,225.87,33.81
2007,Uganda,Sunflower,908.4,30.65,8939.93,34941.93,1.15,0.63,Sprinkler irrigation,0.32,237.78,74.7
1994,Burundi,Vegetables,533.46,21.26,8869.26,10421.61,8.32,0.88,Flood irrigation,0.15,768.1,24.53
2015,Tanzania,Sweet potatoes,649.21,21.09,4265.44,30756.49,6.16,0.58,Flood irrigation,0.3,824.99,77.49
2014,Burundi,Cassava,1637,24.06,4175.43,16426.87,9.55,0.74,Drip irrigation,0.22,556.29,50.32
2019,Rwanda,Pigeon peas,1061.35,34.97,8585.24,44455.84,3.95,0.61,Drip irrigation,0.29,164.1,19.58
2003,Burundi,Groundnuts,664.93,19.98,5520.88,93590.44,8.82,0.54,Sprinkler irrigation,0.42,269.18,77.86
1994,Rwanda,Cassava,1864.1,31.13,9326.72,32008.51,5.17,0.55,Sprinkler irrigation,0.1,879.61,78.11
2023,Burundi,Sunflower,1953.64,24.09,2899.78,42292.36,4.16,0.84,Center pivot irrigation,0.28,264.19,52.83
1998,Rwanda,Cowpeas,1327.21,27.8,2226.7,56558.22,6.54,0.81,Center pivot irrigation,0.17,255.27,39.5
1994,South Sudan,Fruits,1549.18,28.03,4101.48,56949,5.88,0.5,Flood irrigation,0.11,503.75,84.4
2009,Burundi,Fruits,1717.06,33.86,3748.62,35278.85,1.78,0.64,Flood irrigation,0.35,235.4,65.86
1997,South Sudan,Irish potatoes,1532.11,30.19,5693.39,21728.73,1.38,0.53,Center pivot irrigation,0.47,974.77,98.98
2011,Burundi,Pigeon peas,1854.69,29.11,8183.79,65733.82,9.3,0.72,Sprinkler irrigation,0.46,137.07,84.32
2022,Tanzania,Maize,947.88,17.89,9390.38,73200.43,2.69,0.62,Drip irrigation,0.17,914.3,37.49
2011,Burundi,Rice,684.06,15.46,3978.53,45661.89,2.77,0.83,Flood irrigation,0.29,941.01,61.07
2017,Uganda,Cowpeas,1774.62,30.31,4362.93,58433.07,1.54,0.8,Drip irrigation,0.41,981.32,20.48
2014,Burundi,Pigeon peas,886.55,17.68,9069.66,34288.86,4.53,0.82,Flood irrigation,0.45,175.32,63.49
2019,Burundi,Beans,1539.96,18.6,5286.52,74772.43,8.37,0.68,Flood irrigation,0.47,364.35,20.42
2015,Kenya,Pigeon peas,882.84,17.9,4403.39,39026.76,6.87,0.73,Drip irrigation,0.31,465.65,41.42
1996,Tanzania,Beans,1787.78,19.96,9002.47,34596.41,3.3,0.51,Flood irrigation,0.14,813.14,73.33
2011,Uganda,Sorghum,995.09,26.01,5629.57,60169.55,4.59,0.53,Flood irrigation,0.11,298.45,24.31
1995,Burundi,Beans,502.84,29.83,2428.34,59872.32,4.71,0.73,Flood irrigation,0.45,250.92,32.83
2014,Rwanda,Vegetables,502.16,16.91,1497.81,83951.56,2.27,0.73,Sprinkler irrigation,0.49,317.04,19.78
2015,Burundi,Beans,1962.94,24.19,2815.64,42359,5.6,0.69,Flood irrigation,0.2,270.72,60.85
2012,Burundi,Vegetables,999.87,23.17,8330.51,43818.83,1.72,0.54,Drip irrigation,0.24,133.65,52.05
1995,Uganda,Cassava,1971.04,26.68,4727.01,13001.18,6.33,0.53,Drip irrigation,0.12,816.58,82.84
2018,Tanzania,Fruits,601.95,22.68,5971.42,90894.77,3.07,0.87,Drip irrigation,0.34,511.14,50.7
2021,Uganda,Fruits,770.22,25.81,1363.66,98050.2,8.88,0.57,Sprinkler irrigation,0.26,212.68,96.97
2014,Rwanda,Rice,548.61,20.27,4648.67,12190.63,2.23,0.6,Drip irrigation,0.43,145.36,19.61
2002,Rwanda,Cowpeas,665.86,16.68,5129.78,55770.57,5.12,0.65,Center pivot irrigation,0.4,338.74,56.33
1997,Kenya,Millet,1711.44,15.95,7434.63,29297.73,1.8,0.59,Center pivot irrigation,0.28,422.26,19.88
2008,Uganda,Pigeon peas,1572.79,31.86,5227.25,46169.85,1.43,0.55,Sprinkler irrigation,0.37,380.24,75.65
1997,South Sudan,Soybeans,1899.99,18.8,1790.08,19279.35,4.17,0.54,Sprinkler irrigation,0.21,339.84,70.36
2011,Burundi,Wheat,513.56,16.77,5389.27,38359.2,3.48,0.63,Sprinkler irrigation,0.22,382.5,22.98
2003,South Sudan,Vegetables,1253.72,16.27,9106.2,86546.51,1.08,0.59,Drip irrigation,0.12,502.23,74.3
2009,Burundi,Beans,583.29,26.48,3144.81,72899.37,6.55,0.63,Flood irrigation,0.38,755.55,66.3
2011,Kenya,Wheat,1000.99,34.46,1732.39,45076.02,2.85,0.76,Center pivot irrigation,0.27,542.73,27.22
1996,Kenya,Cassava,1310.72,15.59,3298.79,52424.01,5.02,0.56,Drip irrigation,0.21,455.41,49.24
2022,Tanzania,Soybeans,851.66,32.23,3616.42,26160.56,2.67,0.66,Sprinkler irrigation,0.14,729.44,41.86
2008,South Sudan,Wheat,823.06,18.64,1593.4,64683.24,8.73,0.88,Drip irrigation,0.32,184.13,92.75
2007,Rwanda,Soybeans,900.76,17.43,2981.42,52183.9,2.65,0.89,Flood irrigation,0.25,760.02,31.35
2015,Uganda,Millet,1624.21,22.91,4072.66,82760.61,2.1,0.89,Sprinkler irrigation,0.15,505.08,87.65
2014,Kenya,Irish potatoes,1750.72,16.06,7081.89,63028.3,2.97,0.73,Drip irrigation,0.3,586.93,89.67
1997,Burundi,Groundnuts,1556.07,19.03,4689.01,27857.67,5.61,0.76,Flood irrigation,0.46,731.37,67.3
1994,Kenya,Vegetables,1079.07,17.15,4859.62,11833.41,2.94,0.62,Flood irrigation,0.12,364.8,96.98
2009,South Sudan,Pigeon peas,741.36,26.61,8239.32,12911.35,1.37,0.59,Drip irrigation,0.34,654.4,48
2021,Burundi,Vegetables,1589.95,30.15,3942.02,60881.35,6.94,0.65,Drip irrigation,0.3,145.13,50.98
2000,Kenya,Beans,1497.6,22.41,9008.19,79516.47,8.06,0.6,Flood irrigation,0.12,426.24,70.91
2003,Rwanda,Wheat,524.59,17.36,2183.62,45952.89,7.69,0.71,Drip irrigation,0.45,433.51,57.48
1993,Rwanda,Sunflower,835.85,30.02,3837.43,24448.02,4.01,0.55,Sprinkler irrigation,0.37,198.35,34.23
2001,Rwanda,Sunflower,1800.56,27.37,2364.53,49012.19,6.29,0.75,Center pivot irrigation,0.1,360.29,32.95
2008,Rwanda,Beans,620.73,27.14,5200.89,42258.09,7.12,0.6,Drip irrigation,0.14,879.84,49.97
1998,Burundi,Groundnuts,1886.45,28.13,5419.34,23867.99,3.64,0.53,Sprinkler irrigation,0.37,992.04,29.84
2023,Rwanda,Pigeon peas,1503.76,17.25,4451.95,32012.4,8.45,0.89,Drip irrigation,0.31,636.85,90.53
2020,Uganda,Rice,1198.94,20.6,6905.32,87382.69,7.84,0.71,Drip irrigation,0.1,390.52,16.56
1993,Rwanda,Fruits,1374.84,18.97,3815.8,53537.82,1.43,0.7,Center pivot irrigation,0.23,914.58,67.46
1994,Kenya,Millet,1542.06,15.84,9897.73,73852.4,1.1,0.73,Flood irrigation,0.34,535.66,13.99
2002,Rwanda,Sweet potatoes,1844.69,31.36,3929.01,21422.1,7.91,0.61,Drip irrigation,0.49,962.01,52.42
2022,Kenya,Sweet potatoes,925.35,32.53,5478.67,14172.09,8.25,0.7,Center pivot irrigation,0.24,670.63,25.32
2015,South Sudan,Sorghum,1558.16,27.74,3145.08,59626.5,1.58,0.67,Sprinkler irrigation,0.44,977.84,42.64
2019,Tanzania,Irish potatoes,1399.54,28.5,8361.03,11434.51,9.19,0.72,Center pivot irrigation,0.42,467.77,76.77
2015,Uganda,Sunflower,551.63,23.61,5587.84,73800.22,6.27,0.74,Sprinkler irrigation,0.33,327.24,86.65
2015,Rwanda,Beans,1177.75,27.88,9022.56,96008.43,3.9,0.67,Sprinkler irrigation,0.43,263.16,65.75
2004,Rwanda,Soybeans,548.62,26.84,8502.72,81111.21,5.77,0.57,Sprinkler irrigation,0.38,746.27,44.69
2012,Uganda,Soybeans,1227.21,34.92,8265.16,44096.94,9.02,0.83,Drip irrigation,0.13,251.42,99.45
2002,Uganda,Sweet potatoes,1319.07,26.89,7031.26,72223.59,7.57,0.56,Sprinkler irrigation,0.19,717.01,79.48
1993,Tanzania,Sweet potatoes,1460.31,15.45,2733.37,54797.22,6.73,0.83,Drip irrigation,0.23,349.47,87.37
2021,Burundi,Pigeon peas,1912.95,18.32,4921.62,63852.24,1.64,0.64,Flood irrigation,0.48,956,69.18
2017,Kenya,Sunflower,1013.25,32.87,5103.9,79500.93,7.44,0.6,Drip irrigation,0.14,344.48,24.29
1994,Burundi,Pigeon peas,949.49,23.05,1403.63,15052.94,6.55,0.54,Sprinkler irrigation,0.23,437.63,33.85
2020,Burundi,Beans,1780.04,21.64,9070.21,83554.36,5.13,0.69,Flood irrigation,0.17,308.4,35.33
2016,Burundi,Cowpeas,1751.51,26.52,2280.17,73849.26,4.28,0.59,Drip irrigation,0.1,102.71,73.09
2000,Uganda,Vegetables,1939.85,20.98,5107.87,18713.49,3.8,0.88,Sprinkler irrigation,0.38,521.27,70.19
2001,South Sudan,Maize,1818.64,20.93,8204.13,57873.77,8.1,0.78,Center pivot irrigation,0.17,877.27,53.02
2003,Tanzania,Maize,750.73,23.28,4914.06,83018.12,7.17,0.69,Center pivot irrigation,0.34,575.93,85.62
1995,South Sudan,Cassava,1497.55,32.01,4999.57,42338.25,9.14,0.57,Center pivot irrigation,0.22,918.14,65.17
1999,Rwanda,Rice,648.53,20.82,3049.06,27185.89,5.81,0.76,Sprinkler irrigation,0.27,855.54,43.67
2006,Tanzania,Sunflower,1895.24,31.18,1644.98,48598.68,7.62,0.58,Drip irrigation,0.27,666.87,30.07
2006,Tanzania,Vegetables,1117.52,22.54,9901.92,42273.32,6.18,0.77,Drip irrigation,0.23,900.31,87.32
1996,South Sudan,Sorghum,1441.19,20.58,1672.02,65671.7,9.97,0.78,Flood irrigation,0.26,299,52.39
2022,Rwanda,Sunflower,1233.31,19.35,4977.52,87786.92,5.45,0.86,Center pivot irrigation,0.15,453.51,15.03
2018,Rwanda,Irish potatoes,1385.92,25.22,3875.22,74553.94,5.99,0.51,Center pivot irrigation,0.44,193.21,57.12
1993,Kenya,Soybeans,1610.26,22.36,5755.45,19287.91,5.85,0.81,Sprinkler irrigation,0.25,358.06,19.96
2020,Uganda,Cowpeas,756.3,30.65,1304.35,13690.29,5.33,0.68,Center pivot irrigation,0.44,368.99,41.88
1994,Rwanda,Cassava,798.37,15.06,9047.77,25524.73,4.43,0.65,Drip irrigation,0.18,314.92,42.56
2021,Burundi,Sweet potatoes,699.91,19.08,1584.76,60069.01,5.15,0.78,Sprinkler irrigation,0.32,552,43.15
2021,Uganda,Maize,833.89,15.31,3833.54,53905.31,2.63,0.56,Sprinkler irrigation,0.45,920.8,31.09
2018,Rwanda,Irish potatoes,811.74,28.05,9739.61,83672.88,5.7,0.51,Sprinkler irrigation,0.32,253.85,96.08
2018,Uganda,Sorghum,879.92,32.49,1726.44,19113.84,5.27,0.88,Center pivot irrigation,0.32,765.66,73.98
2004,Kenya,Groundnuts,1690.87,27.3,2179.5,45856.44,6.34,0.7,Drip irrigation,0.33,580.89,49.65
2006,South Sudan,Sunflower,732.17,21.15,3617.65,38334.85,9.83,0.51,Center pivot irrigation,0.47,321.84,88.29
2006,Uganda,Cassava,1518.16,27.17,1475.73,60787.5,1.12,0.86,Drip irrigation,0.16,384.17,74.75
1994,Burundi,Wheat,1242.02,25.12,4609.91,53987.37,6.52,0.63,Sprinkler irrigation,0.1,405.58,69.73
2003,Rwanda,Sorghum,1174.2,28.46,5453.53,20944.54,8.62,0.6,Sprinkler irrigation,0.46,964.69,80.28
2020,Kenya,Rice,1173.04,18.67,1336.78,27146.9,7.1,0.77,Flood irrigation,0.41,582.25,11.09
1996,Uganda,Sweet potatoes,1366.49,29.96,1742.36,52890.33,9.85,0.77,Center pivot irrigation,0.37,510.17,59.58
2021,Uganda,Rice,1853.27,17.02,9829.38,15460.82,6.57,0.77,Center pivot irrigation,0.22,434.99,42.2
1994,Tanzania,Wheat,980.41,20.33,1109.7,52407.82,5.53,0.6,Drip irrigation,0.41,424.35,26.75
2009,South Sudan,Sorghum,985.53,27.95,3509.11,13062.16,4.71,0.58,Sprinkler irrigation,0.27,936.64,81.66
2001,South Sudan,Pigeon peas,1090.22,26.27,9116.48,32201.66,8.28,0.67,Flood irrigation,0.17,657.82,28.21
2001,Uganda,Groundnuts,1926.71,15.51,4874.13,78668.83,8.79,0.74,Sprinkler irrigation,0.32,945.33,41.36
2019,Kenya,Beans,853.22,21.54,8293.02,15073.25,9.29,0.62,Flood irrigation,0.29,299,72.45
2014,Uganda,Cassava,1222.83,28.76,7749.09,92666.3,1.21,0.66,Flood irrigation,0.11,743.32,39.78
1997,Kenya,Sorghum,1629.66,26.53,1585.96,21770.59,9.67,0.5,Sprinkler irrigation,0.5,582.5,86.72
2005,Tanzania,Millet,1449.01,33.63,2074.81,79667.74,9.87,0.61,Drip irrigation,0.47,855.75,23.06
2020,Uganda,Cassava,1066.41,29.31,6282.41,50350.82,7.9,0.7,Drip irrigation,0.32,627.87,13.41
2007,Burundi,Fruits,1486.4,26.01,8640.96,96753.03,5.68,0.8,Center pivot irrigation,0.43,625.54,11.32
2012,Tanzania,Cowpeas,1115.1,30.4,2892.36,16790.07,3.21,0.51,Sprinkler irrigation,0.43,904.84,85.85
2023,Kenya,Irish potatoes,1132.22,28.9,9736.46,52816.76,5.94,0.57,Flood irrigation,0.15,525.81,90.53
2007,Tanzania,Wheat,1665.74,34.37,1497.15,97429.41,5.37,0.89,Flood irrigation,0.43,156.64,48.3
2004,Rwanda,Beans,1077.01,32.97,4297.77,73961.36,9.64,0.66,Sprinkler irrigation,0.34,808.18,63.02
1997,South Sudan,Sweet potatoes,528.49,19.35,9152.67,60204.59,8.88,0.61,Center pivot irrigation,0.4,716.34,32.14
2003,Rwanda,Pigeon peas,1221.43,30.54,6115.76,59718.81,5.57,0.86,Center pivot irrigation,0.36,475.25,49.49
2008,South Sudan,Sorghum,1058.18,24.91,8124.23,50128.88,3.91,0.87,Sprinkler irrigation,0.16,462.48,60.87
2017,Burundi,Pigeon peas,1406.56,24.14,8875.79,25213.12,6.97,0.64,Drip irrigation,0.16,407.08,14.07
2014,Uganda,Soybeans,1245.14,21.03,4087.79,91718.21,5.12,0.84,Sprinkler irrigation,0.36,628.69,86.15
2002,Rwanda,Beans,770.81,15.5,8639.21,66643.76,2.06,0.79,Drip irrigation,0.15,322.84,69.98
2004,Kenya,Maize,1832.35,30.9,1099.58,76664.3,4.8,0.71,Sprinkler irrigation,0.45,662.16,86.65
